,OSEBuildingID,BuildingType,PrimaryPropertyType,TaxParcelIdentificationNumber,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ENERGYSTARScore,SourceEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,GHGEmissionsIntensity,BuildingAge,most_use_steam,most_use_natural,most_use_electric,use_stream,use_electricity,use_natural,percent_steam,percent_natural,percent_electricity,LargestPropertyUseTypeGFA_rate,SecondLargestPropertyUseTypeGFA_rate,ThirdLargestPropertyUseTypeGFA_rate,PropertyGFABuilding(s)_rate,PropertyGFAParking_rate,GFAPerBuilding,GFAPerFloor,NumberOfAllUseTypes,TotalGHGEmissionsLog,SiteEnergyUse(kBtu)Log,Age_cat
1263,24876,NonResidential,Storage,3626039349,NORTHWEST,47.70281,-122.35623,1.0,2,71874,Self-Storage Facility,Self-Storage Facility,no information,no information,,31.39999962,0.0,455972.0,786840.0,Compliant,0.63,26,0,1,0,0,1,1,0.0,63.31126509882428,36.68873490117572,100.0,0.0,0.0,56.33,43.67,71874.0,35937.0,21,1.6624745037503097,6.094405700027289,"(20, 30]"
1264,24886,NonResidential,Office,3646100005,CENTRAL,47.60104,-122.30155,1.0,2,39953,Office,Office,no information,no information,93.0,131.0,0.0,1128549.0,380013.0,Compliant,0.7,45,0,0,1,0,1,1,0.0,25.190413121900193,74.80958687809981,75.34,0.0,0.0,100.0,0.0,39953.0,19976.5,6,1.4631461367263496,6.178563415735068,"(40, 50]"
1265,24893,NonResidential,Retail,3646100320,CENTRAL,47.60009,-122.3017,1.0,2,21200,"Office, Retail Store",Retail Store,Office,no information,15.0,248.3000031,0.0,1676426.0,0.0,Compliant,0.55,18,0,0,1,0,1,0,0.0,0.0,100.0,66.83,33.17,0.0,100.0,0.0,21200.0,10600.0,20,1.1034616220947047,6.224384776356685,"(10, 20]"
1266,24895,NonResidential,Retail,3646100390,CENTRAL,47.59881,-122.30189,1.0,1,30630,"Other, Supermarket/Grocery Store",Supermarket/Grocery Store,Other,no information,27.0,615.4000244,0.0,6058493.0,0.0,Compliant,1.38,36,0,0,1,0,1,0,0.0,0.0,100.0,92.95,7.97,0.0,100.0,0.0,30630.0,30630.0,32,1.6358856852812727,6.782364753808024,"(30, 40]"
1267,24896,NonResidential,Retail,3646100390,CENTRAL,47.59881,-122.30189,1.0,2,23421,"Bank Branch, Retail Store",Retail Store,Bank Branch,no information,25.0,254.3000031,0.0,1896626.0,0.0,Compliant,0.56,36,0,0,1,0,1,0,0.0,0.0,100.0,82.28,17.72,0.0,100.0,0.0,23421.0,11710.5,25,1.1528995963937476,6.277982014664457,"(30, 40]"
1268,24908,SPS-District K-12,Education,7518503620,BALLARD,47.6763,-122.38051,1.0,3,117116,K-12 School,K-12 School,no information,no information,83.0,69.69999695,0.0,1031648.0,4690677.0,Compliant,2.19,85,0,1,0,0,1,1,0.0,81.97152381243637,18.028476187563623,100.0,0.0,0.0,100.0,0.0,117116.0,39038.667,11,2.4104566647973136,6.757572633808809,"(80, 90]"
1269,24909,NonResidential,Worship Facility,7518505195,BALLARD,47.67628,-122.38238,1.0,2,24120,Worship Facility,Worship Facility,no information,no information,66.0,68.69999695,0.0,344302.0,548751.0,Compliant,1.31,88,0,1,0,0,1,1,0.0,61.44663306657052,38.55336693342948,100.0,0.0,0.0,100.0,0.0,24120.0,12060.0,16,1.51241754860084,5.95087781120463,"(80, 90]"
1270,24911,NonResidential,Worship Facility,7518507190,BALLARD,47.6764,-122.38502,1.0,3,35736,"Office, Worship Facility",Worship Facility,Office,no information,88.0,46.20000076,0.0,213096.0,935106.0,Compliant,1.43,87,0,1,0,0,1,1,0.0,81.44089628828377,18.55910371171623,81.07,18.93,0.0,100.0,0.0,35736.0,11912.0,24,1.7172543127625497,6.060018771807918,"(80, 90]"
1271,24943,NonResidential,Storage,7666207461,GREATER DUWAMISH,47.57298,-122.33644,1.0,1,51050,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,no information,no information,10.0,58.79999924,0.0,787054.0,419112.0,Compliant,0.54,75,0,0,1,0,1,1,0.0,34.747455988645015,65.25254401135498,96.96,0.0,0.0,100.0,0.0,51050.0,51050.0,26,1.4586378490256493,6.081407352247555,"(70, 80]"
1272,24948,NonResidential,Retail,7666207515,GREATER DUWAMISH,47.57044,-122.33475,1.0,2,21900,Retail Store,Retail Store,no information,no information,40.0,117.1999969,0.0,574237.0,727956.0,Compliant,1.95,62,0,1,0,0,1,1,0.0,55.90231248363338,44.09768751636662,100.0,0.0,0.0,100.0,0.0,21900.0,10950.0,12,1.6400837313731202,6.11467564826786,"(60, 70]"
1273,24955,NonResidential,Storage,7666207585,GREATER DUWAMISH,47.57227,-122.33843,1.0,1,16300,Distribution Center,Distribution Center,no information,no information,100.0,6.900000095,0.0,138179.0,11989.0,Compliant,0.1,64,0,0,1,0,1,1,0.0,7.983724894784508,92.0162751052155,399.78,0.0,0.0,100.0,0.0,16300.0,16300.0,19,0.414973347970818,5.176579701363587,"(60, 70]"
1274,24958,NonResidential,Storage,7666207605,GREATER DUWAMISH,47.57339,-122.33735,1.0,1,33462,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,no information,no information,1.0,130.1000061,0.0,1386445.0,0.0,Compliant,0.29,52,0,0,1,0,1,0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,33462.0,33462.0,26,1.02816441942447,6.141903076588259,"(50, 60]"
1275,24959,NonResidential,Mixed Use,7666207610,GREATER DUWAMISH,47.57506,-122.33862,1.0,1,35310,"Non-Refrigerated Warehouse, Other, Refrigerated Warehouse",Other,Non-Refrigerated Warehouse,Refrigerated Warehouse,,88.19999695,0.0,564235.0,767235.0,Compliant,1.27,64,0,1,0,0,1,1,0.0,57.623153356816154,42.376846643183846,29.65,27.97,25.14,100.0,0.0,35310.0,35310.0,57,1.6597260952377917,6.124331630216847,"(60, 70]"
1276,24991,NonResidential,Other,8159100110,GREATER DUWAMISH,47.54089,-122.32323,1.0,3,36140,Other,Other,no information,no information,,420.7000122,0.0,4653534.0,0.0,Compliant,0.9,54,0,0,1,0,1,0,0.0,0.0,100.0,96.11,0.0,0.0,100.0,0.0,36140.0,12046.667,5,1.5242662687669788,6.667783077986896,"(50, 60]"
1277,24994,NonResidential,Other,8170100120,DOWNTOWN,47.59886,-122.31678,1.0,2,47963,"Other - Mall, Parking",Other - Mall,Parking,no information,,495.0,0.0,2918371.0,5245042.0,Compliant,6.23,25,0,1,0,0,1,1,0.0,64.25060204598249,35.74939795401752,61.8,12.51,0.0,55.42,44.58,47963.0,23981.5,21,2.47699094682793,6.911871821901391,"(20, 30]"
1278,25000,NonResidential,Storage,8170100295,DOWNTOWN,47.59774,-122.31936,1.0,1,23903,"Non-Refrigerated Warehouse, Worship Facility",Non-Refrigerated Warehouse,Worship Facility,no information,65.0,34.29999924,0.0,166749.0,248616.0,Compliant,0.6,86,0,1,0,0,1,1,0.0,59.854826477917015,40.145173522082985,76.77,18.83,0.0,100.0,0.0,23903.0,23903.0,44,1.186673867499745,5.618430519542236,"(80, 90]"
